bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	T	ordering	143	1129	1	0	0.000
53	T	ordering	144	770	0	0.0155507	0.350
53	T	ordering	145	1620	0	0.00980658	0.221
53	T	ordering	146	3610	0	0.0212698	0.479
53	T	ordering	147	152055	0	0.019996	0.450
53	T	ordering	148	171	0	0.014356	0.323
53	T	ordering	149	599	1	0	0.000
53	T	ordering	150	4191	0	0.0171941	0.387
53	T	ordering	151	168	0	0.0344828	0.777
53	T	ordering	152	741	1	0	0.000
53	T	ordering	153	5104	0	0.00921117	0.207
53	T	ordering	154	190	0	0.025641	0.577
53	T	ordering	155	84	0	0.0143075	0.322
53	T	ordering	156	233	0	0.0347883	0.783
53	T	ordering	157	253	1	0	0.000
53	T	ordering	158	59	1	0	0.000
53	T	ordering	159	3247	0	0.010951	0.247
53	T	ordering	160	70	1	0	0.000
53	T	ordering	161	68	0	0.0356454	0.803
53	T	ordering	162	1349	1	0	0.000
53	T	ordering	163	3308	0	0.0313833	0.707
53	T	ordering	164	3942	0	0.0359058	0.809
53	T	ordering	165	495	1	0	0.000
53	T	ordering	166	1936	0	0.014356	0.323
53	T	ordering	167	123	0	0.0243924	0.549
53	T	ordering	168	3226	0	0.0149002	0.336
53	T	ordering	169	3955	0	0.0294091	0.662
53	T	ordering	170	45	1	0	0.000
53	T	ordering	171	6875	0	0.0146485	0.330
53	T	ordering	172	51	1	0	0.000
53	T	ordering	173	80	0	0.0145651	0.328
53	T	ordering	174	131	1	0	0.000
53	T	ordering	175	86	0	0.0271356	0.611
53	T	ordering	176	47	1	0	0.000
53	T	ordering	177	792	0	0.00407346	0.092
53	T	ordering	178	335	1	0	0.000
53	T	ordering	179	3711	0	0.0265324	0.598
53	T	ordering	180	51	1	0	0.000
53	T	ordering	181	214	0	0.0019709	0.044
53	T	ordering	182	317	0	0.0263956	0.594
53	T	ordering	183	553	0	0.0209904	0.473
53	T	ordering	184	872	1	0	0.000
53	T	ordering	185	755	0	0.00949716	0.214
53	T	ordering	186	1620	0	0.0198232	0.446
53	T	ordering	187	2951	0	0.0343014	0.773
53	T	ordering	188	411	1	0	0.000
53	T	ordering	189	33	1	0	0.000
53	T	ordering	190	26238	0	0.000998004	0.022
53	T	ordering	191	209	0	0.0225076	0.507
53	T	ordering	192	380	1	0	0.000
53	T	ordering	193	1081	1	0	0.000
53	T	ordering	194	834	1	0	0.000
53	T	ordering	195	2774	1	0	0.000
53	T	ordering	196	1062	0	0.0363216	0.818
