label	T	sources	partners	missed	false	ms_per_search
day-mixed-200	50	500	500	0	0	1.976
day-mixed-200	60	500	495	0	0	2.291
day-mixed-200	70	500	489	0	0	1.922
day-mixed-200	75	500	475	0	0	1.533
day-mixed-200	80	500	408	0	0	1.900
day-mixed-200	85	500	132	0	0	1.253
day-mixed-200	90	500	69	0	0	0.325
day-mixed-200	95	500	22	0	0	0.172
