file	bpd	geometry	arm	bins	mass	mass_exact	mass_retention	peak	peak_exact	peak_retention	peak_col	peak_col_exact	peak_x_offset	empty_cells	empty_exact	cells_differ	abs_dev	abs_dev_pct	max_cell_dev	overflow	underflow
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	heatmap	T	52	122798	122798	1	27896	27896	1	8	8	0	2	2	17	362	0.294793074805779	143	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	heatmap	S	52	122798	122798	1	27896	27896	1	8	8	0	2	2	17	362	0.294793074805779	143	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	heatmap	G	52	122798	122798	1	27896	27896	1	8	8	0	2	2	19	358	0.291535692763726	132	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	histogram	T	42	122798	122798	1	32803	32803	1	6	6	0	1	1	14	86	0.0700337139041353	16	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	histogram	S	42	122798	122798	1	32803	32803	1	6	6	0	1	1	14	86	0.0700337139041353	16	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	histogram	G	42	122798	122798	1	32803	32803	1	6	6	0	1	1	16	118	0.0960927702405577	34	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	heatmap-keyed	T	52	122798	122798	1	27896	27896	1	8	8	0	2	2	23	316	0.257333181322171	77		
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	heatmap-keyed	S	52	122798	122798	1	27896	27896	1	8	8	0	2	2	23	316	0.257333181322171	77		
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	616	heatmap-keyed	G	52	122798	122798	1	27896	27896	1	8	8	0	2	2	19	358	0.291535692763726	132		
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	heatmap	T	52	122798	122798	1	27896	27896	1	8	8	0	2	2	36	40696	33.1406048958452	19926	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	heatmap	S	52	122798	122798	1	27896	27896	1	8	8	0	2	2	36	40696	33.1406048958452	19926	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	heatmap	G	52	122798	122798	1	27896	27896	1	8	8	0	2	2	33	40822	33.2432124301699	19926	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	histogram	T	42	122798	122798	1	32803	32803	1	6	6	0	1	1	27	2226	1.81273310640238	484	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	histogram	S	42	122798	122798	1	32803	32803	1	6	6	0	1	1	27	2226	1.81273310640238	484	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	histogram	G	42	122798	122798	1	32803	32803	1	6	6	0	1	1	25	1764	1.43650548054529	480	0	0
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	heatmap-keyed	T	52	122798	122798	1	27870	27896	0.999067966733582	8	8	0	1	2	36	9922	8.07993615531198	4597		
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	heatmap-keyed	S	52	122798	122798	1	27870	27896	0.999067966733582	8	8	0	1	2	36	9922	8.07993615531198	4597		
logs/ThingworxLogs/CustomThingworxLogs/ScriptLog-DPMExtended-clean.log	80	heatmap-keyed	G	52	122798	122798	1	27896	27896	1	8	8	0	2	2	33	40822	33.2432124301699	19926		
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	heatmap	T	52	575800	575800	1	289806	289806	1	0	0	0	7	7	23	8656	1.50329975686002	2229	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	heatmap	S	52	575800	575800	1	289806	289806	1	0	0	0	7	7	23	8656	1.50329975686002	2229	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	heatmap	G	52	575800	575800	1	289806	289806	1	0	0	0	7	7	6	356	0.0618270232719694	176	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	histogram	T	36	575800	575800	1	289806	289806	1	0	0	0	3	3	14	49962	8.67697117054533	24382	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	histogram	S	36	575800	575800	1	289806	289806	1	0	0	0	3	3	14	49962	8.67697117054533	24382	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	histogram	G	36	575800	575800	1	289806	289806	1	0	0	0	3	3	15	2872	0.498784300104203	925	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	heatmap-keyed	T	52	575800	575800	1	289806	289806	1	0	0	0	8	7	31	11714	2.03438693990969	3698		
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	heatmap-keyed	S	52	575800	575800	1	289806	289806	1	0	0	0	8	7	31	11714	2.03438693990969	3698		
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	115	heatmap-keyed	G	52	575800	575800	1	289806	289806	1	0	0	0	7	7	6	356	0.0618270232719694	176		
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	heatmap	T	52	575800	575800	1	289806	289806	1	0	0	0	7	7	17	4420	0.767627648489059	1583	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	heatmap	S	52	575800	575800	1	289806	289806	1	0	0	0	7	7	17	4420	0.767627648489059	1583	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	heatmap	G	52	575800	575800	1	289806	289806	1	0	0	0	9	7	18	2220	0.385550538381382	674	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	histogram	T	36	575800	575800	1	289806	289806	1	0	0	0	3	3	8	174	0.0302188259812435	83	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	histogram	S	36	575800	575800	1	289806	289806	1	0	0	0	3	3	8	174	0.0302188259812435	83	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	histogram	G	36	575800	575800	1	289806	289806	1	0	0	0	3	3	4	66	0.0114623133032303	33	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	heatmap-keyed	T	52	575800	575800	1	289806	289806	1	0	0	0	9	7	27	12122	2.1052448766933	5821		
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	heatmap-keyed	S	52	575800	575800	1	289806	289806	1	0	0	0	9	7	27	12122	2.1052448766933	5821		
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	256	heatmap-keyed	G	52	575800	575800	1	289806	289806	1	0	0	0	9	7	18	2220	0.385550538381382	674		
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	heatmap	T	52	575800	575800	1	289806	289806	1	0	0	0	8	7	33	29946	5.20076415422022	5875	0	0
logs/AccessLogs/localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	heatmap	S	52	575800	575800	1	289806	289806	1	0	0	0	8	7	33	29946	5.20076415422022	5875	0	0
