candidate	fixture	lines	metric	median	min	max
arm-K2	bin-dpm-10k.log	10000	rss_delta_after_build_kb	10288	10288	10288
arm-K2	bin-dpm-10k.log	10000	distinct_keys	2515	2515	2515
arm-K2	bin-dpm-10k.log	10000	partition_extensions	15	15	15
arm-K2	bin-dpm-10k.log	10000	keymap_s	0.000389	0.000386	0.000396
arm-K2	bin-dpm-10k.log	10000	devel_size_record_bytes	2.09504e+06	2.09504e+06	2.09504e+06
arm-K2	bin-dpm-10k.log	10000	devel_size_counter_bytes	5.6749e+06	5.6749e+06	5.6749e+06
arm-K2	bin-dpm-10k.log	10000	walk_s	0.000205	0.000204	0.000205
arm-K2	bin-dpm-10k.log	10000	population_stats_s	0.203295	0.202604	0.206512
arm-K2	bin-dpm-10k.log	10000	eligible_keys	2515	2515	2515
arm-K2	bin-dpm-10k.log	10000	churn_s	0.004648	0.004648	0.004648
arm-K2	bin-dpm-10k.log	10000	churn_population_stats_s	0.023661	0.023443	0.024035
arm-K2	bin-dpm-10k.log	10000	compact_s	0.001419	0.001419	0.001419
arm-K2	bin-dpm-10k.log	10000	compact_population_stats_s	0.023534	0.023256	0.023827
arm-K3	bin-dpm-10k.log	10000	build_ns_per_line	7205.3	7103.1	7646.9
arm-K3	bin-dpm-10k.log	10000	rss_delta_after_build_kb	9168	9168	9168
arm-K3	bin-dpm-10k.log	10000	distinct_keys	2515	2515	2515
arm-K3	bin-dpm-10k.log	10000	partition_extensions	15	15	15
arm-K3	bin-dpm-10k.log	10000	keymap_s	0.000387	0.000384	0.000395
arm-K3	bin-dpm-10k.log	10000	devel_size_record_bytes	2.09755e+06	2.09755e+06	2.09755e+06
arm-K3	bin-dpm-10k.log	10000	devel_size_counter_bytes	4.14741e+06	4.14741e+06	4.14741e+06
arm-K3	bin-dpm-10k.log	10000	walk_s	0.000205	0.000205	0.000208
arm-K3	bin-dpm-10k.log	10000	population_stats_s	0.16895	0.167881	0.170217
arm-K3	bin-dpm-10k.log	10000	eligible_keys	2515	2515	2515
arm-K3	bin-dpm-10k.log	10000	churn_s	0.005402	0.005402	0.005402
arm-K3	bin-dpm-10k.log	10000	churn_population_stats_s	0.019233	0.019166	0.019528
arm-K3	bin-dpm-10k.log	10000	compact_s	0.001558	0.001558	0.001558
arm-K3	bin-dpm-10k.log	10000	compact_population_stats_s	0.019765	0.019115	0.020037
arm-K4	bin-dpm-10k.log	10000	build_ns_per_line	7323.6	7172.2	7536.1
arm-K4	bin-dpm-10k.log	10000	rss_delta_after_build_kb	6400	6400	6400
arm-K4	bin-dpm-10k.log	10000	distinct_keys	2515	2515	2515
arm-K4	bin-dpm-10k.log	10000	partition_extensions	15	15	15
arm-K4	bin-dpm-10k.log	10000	keymap_s	0.000395	0.000387	0.000417
arm-K4	bin-dpm-10k.log	10000	devel_size_record_bytes	2.09755e+06	2.09755e+06	2.09755e+06
arm-K4	bin-dpm-10k.log	10000	devel_size_counter_bytes	1.88058e+06	1.88058e+06	1.88058e+06
arm-K4	bin-dpm-10k.log	10000	walk_s	0.000205	0.000205	0.000211
arm-K4	bin-dpm-10k.log	10000	population_stats_s	0.031728	0.031502	0.031849
arm-K4	bin-dpm-10k.log	10000	eligible_keys	2515	2515	2515
arm-K4	bin-dpm-10k.log	10000	churn_s	0.003131	0.003131	0.003131
arm-K4	bin-dpm-10k.log	10000	churn_population_stats_s	0.005347	0.005259	0.005551
arm-K4	bin-dpm-10k.log	10000	compact_s	0.001385	0.001385	0.001385
arm-K4	bin-dpm-10k.log	10000	compact_population_stats_s	0.005512	0.005232	0.005664
arm-K1	bin-dpm-100k.log	100000	build_ns_per_line	9683.39	9493.83	9964.26
arm-K1	bin-dpm-100k.log	100000	rss_delta_after_build_kb	16704	16704	16704
arm-K1	bin-dpm-100k.log	100000	distinct_keys	3312	3312	3312
arm-K1	bin-dpm-100k.log	100000	partition_extensions	86	86	86
arm-K1	bin-dpm-100k.log	100000	devel_size_record_bytes	5.19298e+06	5.19298e+06	5.19298e+06
arm-K1	bin-dpm-100k.log	100000	devel_size_counter_bytes	9.26672e+06	9.26672e+06	9.26672e+06
arm-K1	bin-dpm-100k.log	100000	walk_s	0.000737	0.000704	0.000976
arm-K1	bin-dpm-100k.log	100000	population_stats_s	0.294545	0.293912	0.297022
arm-K1	bin-dpm-100k.log	100000	eligible_keys	3312	3312	3312
arm-K1	bin-dpm-100k.log	100000	churn_s	0.006312	0.006312	0.006312
arm-K1	bin-dpm-100k.log	100000	churn_population_stats_s	0.036741	0.036597	0.036899
arm-K2	bin-dpm-100k.log	100000	build_ns_per_line	7660.28	7452.9	7715.6
arm-K2	bin-dpm-100k.log	100000	rss_delta_after_build_kb	15888	15888	15888
arm-K2	bin-dpm-100k.log	100000	distinct_keys	3312	3312	3312
arm-K2	bin-dpm-100k.log	100000	partition_extensions	86	86	86
arm-K2	bin-dpm-100k.log	100000	keymap_s	0.000507	0.000506	0.000512
arm-K2	bin-dpm-100k.log	100000	devel_size_record_bytes	2.81689e+06	2.81689e+06	2.81689e+06
arm-K2	bin-dpm-100k.log	100000	devel_size_counter_bytes	8.48276e+06	8.48276e+06	8.48276e+06
arm-K2	bin-dpm-100k.log	100000	walk_s	0.000271	0.000268	0.000291
arm-K2	bin-dpm-100k.log	100000	population_stats_s	0.291553	0.288974	0.292401
arm-K2	bin-dpm-100k.log	100000	eligible_keys	3312	3312	3312
arm-K2	bin-dpm-100k.log	100000	churn_s	0.006281	0.006281	0.006281
arm-K2	bin-dpm-100k.log	100000	churn_population_stats_s	0.036939	0.036538	0.038021
arm-K2	bin-dpm-100k.log	100000	compact_s	0.00209	0.00209	0.00209
arm-K2	bin-dpm-100k.log	100000	compact_population_stats_s	0.036769	0.036655	0.037174
arm-K3	bin-dpm-100k.log	100000	build_ns_per_line	6779.16	6685.91	7152.39
arm-K3	bin-dpm-100k.log	100000	rss_delta_after_build_kb	14768	14768	14768
arm-K3	bin-dpm-100k.log	100000	distinct_keys	3312	3312	3312
arm-K3	bin-dpm-100k.log	100000	partition_extensions	86	86	86
arm-K3	bin-dpm-100k.log	100000	keymap_s	0.000517	0.000515	0.000527
arm-K3	bin-dpm-100k.log	100000	devel_size_record_bytes	2.81837e+06	2.81837e+06	2.81837e+06
arm-K3	bin-dpm-100k.log	100000	devel_size_counter_bytes	6.48235e+06	6.48235e+06	6.48235e+06
arm-K3	bin-dpm-100k.log	100000	walk_s	0.000269	0.000269	0.000274
arm-K3	bin-dpm-100k.log	100000	population_stats_s	0.240118	0.239265	0.243192
arm-K3	bin-dpm-100k.log	100000	eligible_keys	3312	3312	3312
arm-K3	bin-dpm-100k.log	100000	churn_s	0.007215	0.007215	0.007215
arm-K3	bin-dpm-100k.log	100000	churn_population_stats_s	0.030441	0.030222	0.0313
