pair	n_a	n_b	n_union	remap	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	47	14	61	1	P1	1	-0.002110	-0.002110	0.000080	0.000080
1	47	14	61	1	P50	1	0.000275	0.000275	0.002469	0.002469
1	47	14	61	1	P75	1	0.001469	0.001469	0.003665	0.003665
1	47	14	61	1	P90	4	-0.003566	-0.003566	-0.001751	-0.001751
1	47	14	61	1	P95	4	-0.002448	-0.002448	-0.000631	-0.000631
1	47	14	61	1	P99	4	-0.001328	-0.001328	0.000490	0.000490
1	47	14	61	1	P999	4	-0.001328	-0.001328	0.000490	0.000490
2	14	14	28	0	P1	3	0.000607	0.000607	-0.002638	-0.002638
2	14	14	28	0	P50	4	-0.002111	-0.002273	-0.001622	-0.001784
2	14	14	28	0	P75	4	-0.000975	-0.001137	-0.000485	-0.000648
2	14	14	28	0	P90	4	-0.000325	-0.000325	0.000165	0.000165
2	14	14	28	0	P95	4	-0.000163	-0.000163	0.000327	0.000327
2	14	14	28	0	P99	4	-0.000000	-0.000000	0.000490	0.000490
2	14	14	28	0	P999	4	-0.000000	-0.000000	0.000490	0.000490
3	14	5	19	1	P1	1	-0.001540	-0.001540	0.000748	0.000748
3	14	5	19	1	P50	4	-0.004245	-0.004245	-0.002311	-0.002311
3	14	5	19	1	P75	4	-0.002693	-0.002693	-0.000756	-0.000756
3	14	5	19	1	P90	4	-0.001760	-0.001760	0.000178	0.000178
3	14	5	19	1	P95	4	-0.001449	-0.001449	0.000490	0.000490
3	14	5	19	1	P99	4	-0.001449	-0.001449	0.000490	0.000490
3	14	5	19	1	P999	4	-0.001449	-0.001449	0.000490	0.000490
4	4	2	6	0	P1	1	-0.003110	-0.003110	0.000623	0.000623
4	4	2	6	0	P50	1	-0.001245	-0.001867	0.002495	0.001871
4	4	2	6	0	P75	1	-0.000623	-0.000623	0.003120	0.003120
4	4	2	6	0	P90	1	-0.000000	-0.000000	0.003745	0.003745
4	4	2	6	0	P95	1	-0.000000	-0.000000	0.003745	0.003745
4	4	2	6	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
4	4	2	6	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
5	5	19	24	1	P1	1	-0.002735	-0.002735	0.000234	0.000234
5	5	19	24	1	P50	1	0.000065	-0.000169	0.003042	0.002807
5	5	19	24	1	P75	2	-0.003098	-0.003563	-0.000222	-0.000689
5	5	19	24	1	P90	2	-0.001699	-0.001699	0.001180	0.001180
5	5	19	24	1	P95	2	-0.001233	-0.001233	0.001648	0.001648
5	5	19	24	1	P99	2	-0.000766	-0.000766	0.002116	0.002116
5	5	19	24	1	P999	2	-0.000766	-0.000766	0.002116	0.002116
6	21	13	34	1	P1	1	-0.002733	-0.002733	0.000288	0.000288
6	21	13	34	1	P50	15	-0.003745	-0.003978	-0.001064	-0.001297
6	21	13	34	1	P75	15	-0.001881	-0.001881	0.000805	0.000805
6	21	13	34	1	P90	15	-0.000714	-0.000714	0.001975	0.001975
6	21	13	34	1	P95	16	0.002041	0.002041	0.000980	0.000980
6	21	13	34	1	P99	18	0.000147	0.000147	0.002815	0.002815
6	21	13	34	1	P999	18	0.000147	0.000147	0.002815	0.002815
7	7	21	28	1	P1	1	-0.002720	-0.002720	0.000534	0.000534
7	7	21	28	1	P50	8	-0.000895	-0.001310	0.002191	0.001775
7	7	21	28	1	P75	9	-0.000508	-0.000819	-0.001171	-0.001482
7	7	21	28	1	P90	9	0.000739	0.000739	0.000075	0.000075
7	7	21	28	1	P95	9	0.001050	0.001050	0.000386	0.000386
7	7	21	28	1	P99	9	0.001362	0.001362	0.000698	0.000698
7	7	21	28	1	P999	9	0.001362	0.001362	0.000698	0.000698
8	8	18	26	0	P1	1	-0.003588	-0.003588	0.000144	0.000144
8	8	18	26	0	P50	1	-0.001724	-0.001867	0.002015	0.001871
8	8	18	26	0	P75	1	-0.000862	-0.000862	0.002879	0.002879
8	8	18	26	0	P90	1	-0.000287	-0.000287	0.003456	0.003456
8	8	18	26	0	P95	1	-0.000144	-0.000144	0.003601	0.003601
8	8	18	26	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
8	8	18	26	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
9	15	20	35	0	P1	1	-0.003625	-0.003625	0.000107	0.000107
9	15	20	35	0	P50	1	-0.001814	-0.001814	0.001924	0.001924
9	15	20	35	0	P75	1	-0.000854	-0.000854	0.002888	0.002888
9	15	20	35	0	P90	1	-0.000320	-0.000320	0.003423	0.003423
9	15	20	35	0	P95	1	-0.000107	-0.000107	0.003638	0.003638
9	15	20	35	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
9	15	20	35	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
10	17	11	28	0	P1	1	-0.003598	-0.003598	0.000134	0.000134
10	17	11	28	0	P50	1	-0.001734	-0.001867	0.002004	0.001871
10	17	11	28	0	P75	1	-0.000801	-0.000934	0.002941	0.002807
10	17	11	28	0	P90	1	-0.000267	-0.000267	0.003477	0.003477
10	17	11	28	0	P95	1	-0.000133	-0.000133	0.003611	0.003611
10	17	11	28	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
10	17	11	28	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
11	6	12	18	0	P1	1	-0.003524	-0.003524	0.000208	0.000208
11	6	12	18	0	P50	1	-0.001660	-0.001867	0.002079	0.001871
11	6	12	18	0	P75	1	-0.000830	-0.000830	0.002912	0.002912
11	6	12	18	0	P90	1	-0.000208	-0.000208	0.003537	0.003537
11	6	12	18	0	P95	1	-0.000000	-0.000000	0.003745	0.003745
11	6	12	18	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
11	6	12	18	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
12	9	9	18	0	P1	1	-0.003524	-0.003524	0.000208	0.000208
12	9	9	18	0	P50	1	-0.001660	-0.001867	0.002079	0.001871
12	9	9	18	0	P75	1	-0.000830	-0.000830	0.002912	0.002912
12	9	9	18	0	P90	1	-0.000208	-0.000208	0.003537	0.003537
12	9	9	18	0	P95	1	-0.000000	-0.000000	0.003745	0.003745
12	9	9	18	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
12	9	9	18	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
13	8	20	28	1	P1	1	-0.002977	-0.002977	0.000467	0.000467
13	8	20	28	1	P50	12	0.000422	0.000006	0.000008	-0.000407
13	8	20	28	1	P75	13	-0.001689	-0.002156	0.001631	0.001163
13	8	20	28	1	P90	14	0.000366	0.000366	0.003689	0.003689
13	8	20	28	1	P95	15	0.000529	0.000529	0.000104	0.000104
13	8	20	28	1	P99	15	0.002401	0.002401	0.001975	0.001975
13	8	20	28	1	P999	15	0.002401	0.002401	0.001975	0.001975
14	20	8	28	1	P1	1	-0.003214	-0.003214	0.000467	0.000467
14	20	8	28	1	P50	73	-0.001057	-0.001524	-0.001146	-0.001613
14	20	8	28	1	P75	75	-0.001918	-0.011202	0.001729	-0.011291
14	20	8	28	1	P90	81	0.001487	0.001487	0.001396	0.001396
14	20	8	28	1	P95	84	0.002501	0.002501	0.002410	0.002410
14	20	8	28	1	P99	95	0.002796	0.002796	0.002703	0.002703
14	20	8	28	1	P999	95	0.002796	0.002796	0.002703	0.002703
15	7	8	15	0	P1	1	-0.003483	-0.003483	0.000249	0.000249
15	7	8	15	0	P50	1	-0.001743	-0.001743	0.001996	0.001996
15	7	8	15	0	P75	1	-0.000747	-0.000747	0.002995	0.002995
15	7	8	15	0	P90	1	-0.000249	-0.000249	0.003495	0.003495
15	7	8	15	0	P95	1	-0.000000	-0.000000	0.003745	0.003745
15	7	8	15	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
15	7	8	15	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
16	10	3	13	0	P1	1	-0.003444	-0.003444	0.000288	0.000288
16	10	3	13	0	P50	1	-0.001724	-0.001724	0.002015	0.002015
16	10	3	13	0	P75	1	-0.000862	-0.000862	0.002879	0.002879
16	10	3	13	0	P90	1	-0.000287	-0.000287	0.003456	0.003456
16	10	3	13	0	P95	1	-0.000000	-0.000000	0.003745	0.003745
16	10	3	13	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
16	10	3	13	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
17	6	18	24	1	P1	1	-0.002185	-0.002185	0.000623	0.000623
17	6	18	24	1	P50	7	-0.001757	-0.002172	0.000738	0.000323
17	6	18	24	1	P75	8	-0.001946	-0.002361	0.000527	0.000112
17	6	18	24	1	P90	8	-0.000702	-0.000702	0.001775	0.001775
17	6	18	24	1	P95	8	-0.000286	-0.000286	0.002191	0.002191
17	6	18	24	1	P99	8	0.000129	0.000129	0.002607	0.002607
17	6	18	24	1	P999	8	0.000129	0.000129	0.002607	0.002607
18	19	20	39	0	P1	1	-0.001365	-0.001365	0.000748	0.000748
18	19	20	39	0	P50	3	-0.001577	-0.001577	-0.003197	-0.003197
18	19	20	39	0	P75	3	0.000291	0.000291	-0.001332	-0.001332
18	19	20	39	0	P90	3	0.001413	0.001413	-0.000212	-0.000212
18	19	20	39	0	P95	3	0.001788	0.001788	0.000162	0.000162
18	19	20	39	0	P99	3	0.001975	0.001975	0.000349	0.000349
18	19	20	39	0	P999	3	0.001975	0.001975	0.000349	0.000349
19	21	19	40	1	P1	2	-0.002511	-0.002511	-0.001312	-0.001312
19	21	19	40	1	P50	53	-0.000189	-0.000723	0.000493	-0.000041
19	21	19	40	1	P75	55	-0.002778	-0.015742	0.001633	-0.015074
19	21	19	40	1	P90	58	0.002058	-0.016500	0.002726	-0.015840
19	21	19	40	1	P95	64	0.000818	-0.046660	0.001471	-0.046031
19	21	19	40	1	P99	67	-0.000129	-0.000129	0.000516	0.000516
19	21	19	40	1	P999	67	-0.000129	-0.000129	0.000516	0.000516
20	13	2	15	0	P1	1	-0.003483	-0.003483	0.000249	0.000249
20	13	2	15	0	P50	1	-0.001743	-0.001743	0.001996	0.001996
20	13	2	15	0	P75	1	-0.000747	-0.000747	0.002995	0.002995
20	13	2	15	0	P90	1	-0.000249	-0.000249	0.003495	0.003495
20	13	2	15	0	P95	1	-0.000000	-0.000000	0.003745	0.003745
20	13	2	15	0	P99	1	-0.000000	-0.000000	0.003745	0.003745
20	13	2	15	0	P999	1	-0.000000	-0.000000	0.003745	0.003745
21	3	334	337	0	P1	1	-0.003687	-0.003687	0.000045	0.000045
21	3	334	337	0	P50	1	-0.001851	-0.001851	0.001887	0.001887
21	3	334	337	0	P75	1	-0.000915	-0.000915	0.002827	0.002827
