file	bpd	bound	scope	arm	conv	quantile	n	p50	p95	p99	max	within_bound	mean_signed
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	binning	P1	284	0.021016	0.033110	0.039736	0.040405	1.000000	-0.019025
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	raw	P1	284	0.021016	0.033246	0.039736	0.040405	1.000000	-0.019041
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	binning	P50	284	0.000247	0.015314	0.029239	0.034773	1.000000	0.000696
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	raw	P50	284	0.000166	0.015243	0.029239	0.034773	1.000000	0.000626
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	binning	P75	284	0.011064	0.018592	0.029092	0.040125	1.000000	0.010141
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	raw	P75	284	0.011044	0.018592	0.029092	0.040125	1.000000	0.010097
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	binning	P90	284	0.017643	0.021587	0.032968	0.036011	1.000000	0.014054
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	raw	P90	284	0.017629	0.021587	0.032968	0.036011	1.000000	0.013993
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	binning	P95	284	0.019852	0.023912	0.036241	0.040240	1.000000	0.016401
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	raw	P95	284	0.019851	0.022993	0.036241	0.040240	1.000000	0.016358
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	binning	P99	284	0.021608	0.028604	0.042219	0.044150	1.000000	0.017163
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	raw	P99	284	0.021607	0.028604	0.042219	0.044150	1.000000	0.017137
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	binning	P999	284	0.021960	0.036799	0.041896	0.044081	1.000000	0.019619
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	T	raw	P999	284	0.021960	0.036799	0.041896	0.044081	1.000000	0.019619
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	G	binning	P1	284	0.000508	0.025459	0.039497	0.042344	1.000000	-0.001375
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	G	raw	P1	284	0.000505	0.025459	0.039497	0.042344	1.000000	-0.001391
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	G	binning	P50	284	0.022051	0.026156	0.039087	0.043986	1.000000	0.014868
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	G	raw	P50	284	0.022023	0.026129	0.039087	0.043570	1.000000	0.014798
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	G	binning	P75	284	0.033211	0.034027	0.039462	0.042904	1.000000	0.024229
localhost_access_log-twx01-twx-thingworx-0.2025-05-07.txt	53	0.044403	key	G	raw	P75	284	0.033194	0.034027	0.039462	0.042904	1.000000	0.024187
