key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
8	205	P99	5	5.006616	0.001323	5.006616	0.001323	5.136790	0.027358	5.136790	0.027358
8	205	P999	5	5.079648	0.015930	5.079648	0.015930	5.211721	0.042344	5.211721	0.042344
9	272	P1	3	3.002239	0.000746	3.002239	0.000746	2.992625	-0.002458	2.992625	-0.002458
9	272	P50	42	41.485715	-0.012245	41.471065	-0.012594	42.407971	0.009714	42.390593	0.009300
9	272	P75	43	43.409091	0.009514	43.360762	0.008390	43.606521	0.014105	43.588652	0.013690
9	272	P90	45	45.654472	0.014544	45.654472	0.014544	45.508271	0.011295	45.508271	0.011295
9	272	P95	46	47.342091	0.029176	47.342091	0.029176	47.190486	0.025880	47.190486	0.025880
9	272	P99	54	54.606211	0.011226	54.606211	0.011226	54.431344	0.007988	54.431344	0.007988
9	272	P999	60	62.207939	0.036799	62.207939	0.036799	62.008729	0.033479	62.008729	0.033479
10	525	P1	8	7.945663	-0.006792	7.945663	-0.006792	7.774924	-0.028134	7.774924	-0.028134
10	525	P50	9	9.298893	0.033210	9.298893	0.033210	9.099075	0.011008	9.099075	0.011008
10	525	P75	10	10.011146	0.001115	10.011146	0.001115	10.230992	0.023099	10.230992	0.023099
10	525	P90	11	10.746078	-0.023084	10.746078	-0.023084	10.982064	-0.001631	10.982064	-0.001631
10	525	P95	11	11.132179	0.012016	11.132179	0.012016	11.376644	0.034240	11.376644	0.034240
10	525	P99	18	18.505277	0.028071	18.505277	0.028071	18.107631	0.005979	18.107631	0.005979
10	525	P999	49	50.997298	0.040761	50.997298	0.040761	49.901455	0.018397	49.901455	0.018397
11	595	P1	7	6.863655	-0.019478	6.863655	-0.019478	6.777665	-0.031762	6.777665	-0.031762
11	595	P50	8	7.964905	-0.004387	7.964905	-0.004387	7.865117	-0.016860	7.865117	-0.016860
11	595	P75	8	8.108615	0.013577	8.108615	0.013577	8.007027	0.000878	8.007027	0.000878
11	595	P90	9	9.091103	0.010123	9.091103	0.010123	8.977206	-0.002533	8.977206	-0.002533
11	595	P95	9	9.222248	0.024694	9.222248	0.024694	9.106708	0.011856	9.106708	0.011856
11	595	P99	10	9.981277	-0.001872	9.981277	-0.001872	10.293869	0.029387	10.293869	0.029387
11	595	P999	10	10.126874	0.012687	10.126874	0.012687	10.444026	0.044403	10.444026	0.044403
12	533	P1	7	7.219225	0.031318	7.219225	0.031318	7.064096	0.009157	7.064096	0.009157
12	533	P50	9	9.099699	0.011078	9.099699	0.011078	8.904162	-0.010649	8.904162	-0.010649
12	533	P75	9	9.361127	0.040125	9.361127	0.040125	9.159973	0.017775	9.159973	0.017775
12	533	P90	10	10.067642	0.006764	10.067642	0.006764	10.288729	0.028873	10.288729	0.028873
12	533	P95	10	10.169965	0.016996	10.169965	0.016996	10.393299	0.039330	10.393299	0.039330
12	533	P99	12	12.159218	0.013268	12.159218	0.013268	12.426237	0.035520	12.426237	0.035520
12	533	P999	66	66.184260	0.002792	66.184260	0.002792	67.637676	0.024813	67.637676	0.024813
13	1501	P1	6	5.776696	-0.037217	5.776696	-0.037217	5.957609	-0.007065	5.957609	-0.007065
13	1501	P50	7	7.002539	0.000363	7.002539	0.000363	6.914809	-0.012170	6.914809	-0.012170
13	1501	P75	7	7.109173	0.015596	7.109173	0.015596	7.020106	0.002872	7.020106	0.002872
13	1501	P90	8	7.917485	-0.010314	7.917485	-0.010314	7.818291	-0.022714	7.818291	-0.022714
13	1501	P95	8	8.041888	0.005236	8.041888	0.005236	7.941136	-0.007358	7.941136	-0.007358
13	1501	P99	8	8.142817	0.017852	8.142817	0.017852	8.040800	0.005100	8.040800	0.005100
13	1501	P999	45	46.328982	0.029533	46.328982	0.029533	45.748553	0.016635	45.748553	0.016635
14	518	P1	5	4.962570	-0.007486	4.962570	-0.007486	5.018504	0.003701	5.018504	0.003701
14	518	P50	6	6.018052	0.003009	6.017357	0.002893	6.085883	0.014314	6.085179	0.014197
14	518	P75	6	6.108425	0.018071	6.108425	0.018071	6.177274	0.029546	6.177274	0.029546
14	518	P90	7	7.135392	0.019342	7.135392	0.019342	6.909038	-0.012995	6.909038	-0.012995
14	518	P95	7	7.223540	0.031934	7.223540	0.031934	6.994389	-0.000802	6.994389	-0.000802
14	518	P99	7	7.292087	0.041727	7.292087	0.041727	7.060761	0.008680	7.060761	0.008680
14	518	P999	64	64.040267	0.000629	64.040267	0.000629	64.762075	0.011907	64.762075	0.011907
15	140	P1	5	4.953205	-0.009359	4.953205	-0.009359	5.009033	0.001807	5.009033	0.001807
15	140	P50	6	5.992338	-0.001277	5.989786	-0.001702	6.059879	0.009980	6.057298	0.009550
15	140	P75	6	6.082339	0.013723	6.079749	0.013291	6.150894	0.025149	6.148274	0.024712
15	140	P90	7	7.028852	0.004122	7.007074	0.001011	6.805877	-0.027732	6.784790	-0.030744
