group	step	n_union	remaps_so_far	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	1	41	1	P1	42	-0.003555	-0.003555	0.013168	0.013168
1	1	41	1	P50	47	-0.000064	-0.000064	0.016594	0.016594
1	1	41	1	P75	172	0.007340	0.007340	0.000739	0.000739
1	1	41	1	P90	181	0.017347	0.017347	0.002493	0.002493
1	1	41	1	P95	183	0.023886	0.023886	0.003922	0.003922
1	1	41	1	P99	212	0.015799	0.015799	0.031067	0.031067
1	1	41	1	P999	212	0.015799	0.015799	0.031067	0.031067
1	2	72	2	P1	41	0.001518	0.001518	-0.006246	-0.006246
1	2	72	2	P50	47	-0.012661	-0.016562	0.003095	-0.000252
1	2	72	2	P75	51	-0.003370	-0.008180	0.016371	0.010867
1	2	72	2	P90	177	0.004171	0.004171	0.006238	0.006238
1	2	72	2	P95	183	0.007868	0.007868	-0.002290	-0.002290
1	2	72	2	P99	212	0.008822	0.008822	0.031067	0.031067
1	2	72	2	P999	212	0.008822	0.008822	0.031067	0.031067
1	3	103	3	P1	40	0.000084	0.000084	-0.010481	-0.010481
1	3	103	3	P50	45	-0.008803	-0.008803	0.014869	0.014869
1	3	103	3	P75	50	-0.012523	-0.012523	0.003464	0.003464
1	3	103	3	P90	175	-0.006226	-0.006226	0.005183	0.005183
1	3	103	3	P95	181	0.010169	0.010169	0.002493	0.002493
1	3	103	3	P99	211	-0.008226	-0.008226	0.013692	0.013692
1	3	103	3	P999	212	0.008822	0.008822	0.031067	0.031067
1	4	120	4	P1	40	0.000117	0.000117	-0.010481	-0.010481
1	4	120	4	P50	45	-0.004217	-0.006496	0.011295	0.009964
1	4	120	4	P75	49	0.001829	-0.002524	0.013493	0.008612
1	4	120	4	P90	172	0.000187	-0.324092	0.000739	-0.308259
1	4	120	4	P95	181	0.010196	0.001437	0.002493	-0.003709
1	4	120	4	P99	211	-0.008200	-0.008200	0.013692	0.013692
1	4	120	4	P999	212	0.008848	0.008848	0.031067	0.031067
