group	step	n_union	remaps_so_far	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	1	61	1	P1	1	-0.002110	-0.002110	0.000080	0.000080
1	1	61	1	P50	1	0.000275	0.000275	0.002469	0.002469
1	1	61	1	P75	1	0.001469	0.001469	0.003665	0.003665
1	1	61	1	P90	4	-0.003566	-0.003566	-0.001751	-0.001751
1	1	61	1	P95	4	-0.002448	-0.002448	-0.000631	-0.000631
1	1	61	1	P99	4	-0.001328	-0.001328	0.000490	0.000490
1	1	61	1	P999	4	-0.001328	-0.001328	0.000490	0.000490
1	2	75	2	P1	1	-0.002207	-0.002207	0.000080	0.000080
1	2	75	2	P50	1	0.000734	0.000734	0.003027	0.003027
1	2	75	2	P75	4	-0.004499	-0.004499	-0.002565	-0.002565
1	2	75	2	P90	4	-0.002636	-0.002636	-0.000699	-0.000699
1	2	75	2	P95	4	-0.001958	-0.001958	-0.000020	-0.000020
1	2	75	2	P99	4	-0.001449	-0.001449	0.000490	0.000490
1	2	75	2	P999	4	-0.001449	-0.001449	0.000490	0.000490
1	3	89	3	P1	1	-0.002207	-0.002207	0.000080	0.000080
1	3	89	3	P50	1	0.001292	0.001292	0.003585	0.003585
1	3	89	3	P75	4	-0.003935	-0.003935	-0.002000	-0.002000
1	3	89	3	P90	4	-0.002354	-0.002354	-0.000416	-0.000416
1	3	89	3	P95	4	-0.001901	-0.001901	0.000037	0.000037
1	3	89	3	P99	4	-0.001449	-0.001449	0.000490	0.000490
1	3	89	3	P999	4	-0.001449	-0.001449	0.000490	0.000490
1	4	103	4	P1	1	-0.002128	-0.002128	0.000159	0.000159
1	4	103	4	P50	3	-0.001129	-0.001129	-0.001689	-0.001689
1	4	103	4	P75	4	-0.003521	-0.003521	-0.001586	-0.001586
1	4	103	4	P90	4	-0.002278	-0.002278	-0.000341	-0.000341
1	4	103	4	P95	4	-0.001864	-0.001864	0.000075	0.000075
1	4	103	4	P99	4	-0.001532	-0.001532	0.000407	0.000407
1	4	103	4	P999	4	-0.001449	-0.001449	0.000490	0.000490
1	5	108	5	P1	1	-0.002143	-0.002143	0.000144	0.000144
1	5	108	5	P50	3	-0.002595	-0.003527	-0.002367	-0.002706
1	5	108	5	P75	4	-0.003604	-0.003686	-0.001668	-0.001751
1	5	108	5	P90	4	-0.002278	-0.002278	-0.000341	-0.000341
1	5	108	5	P95	4	-0.001864	-0.001864	0.000075	0.000075
1	5	108	5	P99	4	-0.001532	-0.001532	0.000407	0.000407
1	5	108	5	P999	4	-0.001449	-0.001449	0.000490	0.000490
1	6	112	6	P1	1	-0.002153	-0.002153	0.000134	0.000134
1	6	112	6	P50	3	-0.004458	-0.666183	-0.003045	-0.665418
1	6	112	6	P75	4	-0.003686	-0.003769	-0.001751	-0.001834
1	6	112	6	P90	4	-0.002361	-0.002361	-0.000424	-0.000424
1	6	112	6	P95	4	-0.001864	-0.001864	0.000075	0.000075
1	6	112	6	P99	4	-0.001532	-0.001532	0.000407	0.000407
1	6	112	6	P999	4	-0.001449	-0.001449	0.000490	0.000490
1	7	114	7	P1	1	-0.002158	-0.002158	0.000129	0.000129
1	7	114	7	P50	1	0.001451	0.001386	0.003745	0.003680
1	7	114	7	P75	4	-0.003769	-0.003769	-0.001834	-0.001834
1	7	114	7	P90	4	-0.002361	-0.002361	-0.000424	-0.000424
1	7	114	7	P95	4	-0.001864	-0.001864	0.000075	0.000075
