pair	n_a	n_b	n_union	remap	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	10	31	41	1	P1	42	-0.003555	-0.003555	0.013168	0.013168
1	10	31	41	1	P50	47	-0.000064	-0.000064	0.016594	0.016594
1	10	31	41	1	P75	172	0.007340	0.007340	0.000739	0.000739
1	10	31	41	1	P90	181	0.017347	0.017347	0.002493	0.002493
1	10	31	41	1	P95	183	0.023886	0.023886	0.003922	0.003922
1	10	31	41	1	P99	212	0.015799	0.015799	0.031067	0.031067
1	10	31	41	1	P999	212	0.015799	0.015799	0.031067	0.031067
2	31	31	62	1	P1	40	-0.012748	-0.012748	-0.024707	-0.024707
2	31	31	62	1	P50	44	-0.007070	-0.009126	0.013505	0.010918
2	31	31	62	1	P75	47	0.001567	0.001567	0.009259	0.009259
2	31	31	62	1	P90	50	0.005618	0.005618	0.019946	0.019946
2	31	31	62	1	P95	59	0.023167	0.023167	0.006313	0.006313
2	31	31	62	1	P99	211	0.010930	0.010930	0.035953	0.035953
2	31	31	62	1	P999	211	0.010930	0.010930	0.035953	0.035953
3	17	31	48	1	P1	42	-0.018408	-0.018408	0.002949	0.002949
3	17	31	48	1	P50	46	-0.010902	-0.013766	0.001761	-0.001859
3	17	31	48	1	P75	49	-0.002370	-0.013160	0.003755	-0.010676
3	17	31	48	1	P90	53	-0.004717	-0.004717	0.004938	0.004938
3	17	31	48	1	P95	107	0.010462	0.010462	-0.002488	-0.002488
3	17	31	48	1	P99	209	0.015194	0.015194	0.001402	0.001402
3	17	31	48	1	P999	209	0.015194	0.015194	0.001402	0.001402
4	31	31	62	1	P1	41	0.027288	0.027288	0.022958	0.022958
4	31	31	62	1	P50	47	0.012087	0.010330	0.016594	0.014388
4	31	31	62	1	P75	50	0.002285	0.002285	0.008928	0.008928
4	31	31	62	1	P90	61	-0.008239	-0.008239	-0.012483	-0.012483
4	31	31	62	1	P95	99	0.014534	0.014534	0.010101	0.010101
4	31	31	62	1	P99	124	0.006552	0.006552	0.002116	0.002116
4	31	31	62	1	P999	124	0.006552	0.006552	0.002116	0.002116
5	31	31	62	1	P1	40	0.004206	0.004206	0.003953	0.003953
5	31	31	62	1	P50	46	0.010160	0.007582	0.009901	0.007323
5	31	31	62	1	P75	48	0.013126	0.013126	0.012864	0.012864
5	31	31	62	1	P90	51	0.000207	0.000207	-0.000053	-0.000053
5	31	31	62	1	P95	52	0.002515	0.002515	0.002254	0.002254
5	31	31	62	1	P99	214	0.021750	0.021750	0.021431	0.021431
5	31	31	62	1	P999	214	0.021750	0.021750	0.021431	0.021431
6	31	31	62	1	P1	41	0.007118	0.007118	0.022958	0.022958
6	31	31	62	1	P50	47	0.010976	0.007602	0.016594	0.013444
6	31	31	62	1	P75	52	-0.008430	-0.008430	-0.010110	-0.010110
6	31	31	62	1	P90	55	-0.004190	-0.004190	0.011394	0.011394
6	31	31	62	1	P95	62	0.028497	0.028497	0.000141	0.000141
6	31	31	62	1	P99	211	0.020370	0.020370	0.035953	0.035953
6	31	31	62	1	P999	211	0.020370	0.020370	0.035953	0.035953
7	31	31	62	0	P1	41	-0.008811	-0.008811	0.022958	0.022958
7	31	31	62	0	P50	47	0.019860	0.014336	0.016594	0.011088
7	31	31	62	0	P75	50	-0.007880	-0.007880	0.005944	0.005944
7	31	31	62	0	P90	52	0.005474	0.005474	0.002254	0.002254
7	31	31	62	0	P95	59	0.009545	0.009545	0.006313	0.006313
7	31	31	62	0	P99	114	0.002517	0.002517	0.043679	0.043679
7	31	31	62	0	P999	114	0.002517	0.002517	0.043679	0.043679
8	31	31	62	1	P1	42	-0.025820	-0.025820	0.002949	0.002949
8	31	31	62	1	P50	46	0.009652	0.006914	0.010370	0.006388
8	31	31	62	1	P75	49	0.005101	0.005101	0.018397	0.018397
8	31	31	62	1	P90	54	0.012285	0.012285	0.007988	0.007988
8	31	31	62	1	P95	60	0.037908	0.037908	0.033479	0.033479
8	31	31	62	1	P99	120	0.040084	0.040084	0.035520	0.035520
8	31	31	62	1	P999	120	0.040084	0.040084	0.035520	0.035520
