key_ordinal	n	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
1	10	P1	172	0.000562	0.000562	0.003424	0.003424
1	10	P50	180	0.003700	-0.003776	0.002815	-0.004654
1	10	P75	183	0.000246	0.000246	-0.000635	-0.000635
1	10	P90	186	0.000807	-0.014046	0.003670	-0.014914
1	10	P95	186	0.000807	0.000807	0.003670	0.003670
1	10	P99	186	0.000807	0.000807	0.003670	0.003670
1	10	P999	186	0.000807	0.000807	0.003670	0.003670
2	31	P1	42	0.000379	0.000379	0.000293	0.000293
2	31	P50	46	0.002860	0.002860	0.002774	0.002774
2	31	P75	50	-0.000159	-0.000159	-0.000245	-0.000245
2	31	P90	59	0.000666	0.000666	0.000580	0.000580
2	31	P95	115	0.002369	0.002369	0.002283	0.002283
2	31	P99	212	-0.000000	-0.000000	0.003659	0.003659
2	31	P999	212	-0.000000	-0.000000	0.003659	0.003659
3	31	P1	41	-0.000483	-0.000483	-0.000529	-0.000529
3	31	P50	44	0.002416	0.002416	0.002369	0.002369
3	31	P75	49	0.001315	0.001315	0.001269	0.001269
3	31	P90	50	0.001671	0.001671	0.001625	0.001625
3	31	P95	59	0.000626	0.000626	0.000580	0.000580
3	31	P99	108	0.001583	0.001583	0.001537	0.001537
3	31	P999	108	0.001583	0.001583	0.001537	0.001537
4	31	P1	40	0.000832	0.000832	-0.002000	-0.002000
4	31	P50	44	-0.000407	-0.000407	0.000498	0.000498
4	31	P75	45	0.000794	0.000794	0.001700	0.001700
4	31	P90	47	0.002791	0.002791	0.003699	0.003699
4	31	P95	112	0.001645	0.001645	0.002551	0.002551
4	31	P99	211	-0.000000	-0.000000	0.000905	0.000905
4	31	P999	211	-0.000000	-0.000000	0.000905	0.000905
5	17	P1	42	-0.000159	-0.000159	-0.001575	-0.001575
5	17	P50	45	-0.002240	-0.002240	0.000079	0.000079
5	17	P75	46	-0.001419	-0.001419	0.000902	0.000902
5	17	P90	52	0.001200	0.001200	0.003527	0.003527
5	17	P95	107	0.001042	0.001042	0.003368	0.003368
5	17	P99	107	0.001042	0.001042	0.003368	0.003368
5	17	P999	107	0.001042	0.001042	0.003368	0.003368
6	31	P1	42	0.001079	0.001079	0.000293	0.000293
6	31	P50	46	0.002156	0.002156	0.001370	0.001370
6	31	P75	50	0.000541	0.000541	-0.000245	-0.000245
6	31	P90	53	0.000210	0.000210	0.003168	0.003168
6	31	P95	109	0.000581	0.000581	0.003540	0.003540
6	31	P99	209	-0.000000	-0.000000	0.002957	0.002957
6	31	P999	209	-0.000000	-0.000000	0.002957	0.002957
7	31	P1	43	0.002979	0.002979	0.002933	0.002933
7	31	P50	48	0.000627	0.000627	0.000581	0.000581
7	31	P75	51	0.000557	0.000557	0.000511	0.000511
7	31	P90	62	0.001493	0.001493	0.001447	0.001447
7	31	P95	99	0.002624	0.002624	0.002578	0.002578
7	31	P99	124	0.001738	0.001738	0.001692	0.001692
7	31	P999	124	0.001738	0.001738	0.001692	0.001692
8	31	P1	41	0.002776	0.002776	0.001965	0.001965
8	31	P50	47	-0.001727	-0.001727	0.001201	0.001201
8	31	P75	49	-0.002281	-0.002281	0.000645	0.000645
8	31	P90	51	0.001322	0.001322	0.000511	0.000511
8	31	P95	101	0.002075	0.002075	0.001264	0.001264
8	31	P99	122	0.000071	0.000071	0.003004	0.003004
8	31	P999	122	0.000071	0.000071	0.003004	0.003004
9	31	P1	40	0.003723	0.003723	0.000490	0.000490
9	31	P50	46	0.001014	0.001014	0.001526	0.001526
9	31	P75	48	0.000818	0.000818	0.001329	0.001329
9	31	P90	51	-0.001867	-0.001867	-0.001357	-0.001357
9	31	P95	52	0.003014	0.003014	0.003527	0.003527
9	31	P99	110	0.001367	0.001367	0.001879	0.001879
9	31	P999	110	0.001367	0.001367	0.001879	0.001879
10	31	P1	42	0.000424	0.000424	-0.001575	-0.001575
10	31	P50	46	-0.001210	-0.001210	0.000528	0.000528
10	31	P75	48	0.003333	0.003333	0.001329	0.001329
10	31	P90	51	0.002514	0.002514	0.000511	0.000511
10	31	P95	111	0.002305	0.002305	0.000303	0.000303
10	31	P99	214	-0.000000	-0.000000	0.001740	0.001740
10	31	P999	214	-0.000000	-0.000000	0.001740	0.001740
11	31	P1	45	0.000994	0.000994	0.002324	0.002324
11	31	P50	49	-0.000060	-0.000060	0.001269	0.001269
11	31	P75	53	-0.000969	-0.000969	0.000359	0.000359
11	31	P90	55	0.002175	0.002175	0.003507	0.003507
11	31	P95	62	0.001988	0.001988	0.003320	0.003320
11	31	P99	94	0.000740	0.000740	0.002070	0.002070
11	31	P999	94	0.000740	0.000740	0.002070	0.002070
12	31	P1	41	0.001059	0.001059	0.001965	0.001965
12	31	P50	45	0.000483	0.000483	0.001388	0.001388
12	31	P75	48	0.000424	0.000424	0.001329	0.001329
12	31	P90	53	0.002260	0.002260	0.003168	0.003168
12	31	P95	113	0.000231	0.000231	0.001136	0.001136
12	31	P99	211	-0.000000	-0.000000	0.000905	0.000905
12	31	P999	211	-0.000000	-0.000000	0.000905	0.000905
13	31	P1	43	-0.001867	-0.001867	0.001060	0.001060
13	31	P50	49	-0.002592	-0.002592	0.000334	0.000334
13	31	P75	51	-0.001171	-0.001171	-0.001979	-0.001979
13	31	P90	52	0.000593	0.000593	0.003527	0.003527
13	31	P95	63	0.003080	0.003080	0.002269	0.002269
13	31	P99	97	0.001366	0.001366	0.000556	0.000556
13	31	P999	97	0.001366	0.001366	0.000556	0.000556
14	31	P1	41	0.002776	0.002776	0.001965	0.001965
14	31	P50	45	0.002386	0.002386	0.001575	0.001575
14	31	P75	49	-0.002281	-0.002281	0.000645	0.000645
14	31	P90	50	0.002437	0.002437	0.001625	0.001625
14	31	P95	59	0.001390	0.001390	0.000580	0.000580
14	31	P99	114	0.000610	0.000610	0.003545	0.003545
14	31	P999	114	0.000610	0.000610	0.003545	0.003545
15	31	P1	42	-0.000159	-0.000159	-0.001575	-0.001575
15	31	P50	47	0.001371	0.001371	0.003699	0.003699
15	31	P75	51	0.001929	0.001929	0.000511	0.000511
15	31	P90	54	0.000839	0.000839	0.003165	0.003165
15	31	P95	111	0.001721	0.001721	0.000303	0.000303
15	31	P99	120	0.002258	0.002258	0.000839	0.000839
15	31	P999	120	0.002258	0.002258	0.000839	0.000839
16	31	P1	42	0.001103	0.001103	0.000293	0.000293
16	31	P50	45	0.002386	0.002386	0.001575	0.001575
16	31	P75	48	0.000269	0.000269	-0.000540	-0.000540
16	31	P90	51	0.001322	0.001322	0.000511	0.000511
16	31	P95	57	0.002237	0.002237	0.001426	0.001426
16	31	P99	109	0.000605	0.000605	0.003540	0.003540
16	31	P999	109	0.000605	0.000605	0.003540	0.003540
17	31	P1	41	0.001511	0.001511	0.000094	0.000094
17	31	P50	46	-0.000174	-0.000174	0.002150	0.002150
17	31	P75	50	0.000549	0.000549	-0.000868	-0.000868
17	31	P90	51	0.001929	0.001929	0.000511	0.000511
17	31	P95	61	0.002304	0.002304	0.000886	0.000886
17	31	P99	109	0.001213	0.001213	0.003540	0.003540
17	31	P999	109	0.001213	0.001213	0.003540	0.003540
18	31	P1	40	0.001300	0.001300	0.000490	0.000490
18	31	P50	45	0.002065	0.002065	0.001254	0.001254
18	31	P75	47	0.000764	0.000764	0.003699	0.003699
18	31	P90	51	0.001322	0.001322	0.000511	0.000511
18	31	P95	54	0.000232	0.000232	0.003165	0.003165
18	31	P99	112	0.003363	0.003363	0.002551	0.002551
18	31	P999	112	0.003363	0.003363	0.002551	0.002551
19	31	P1	42	-0.000000	-0.000000	0.000293	0.000293
