group	step	n_union	remaps_so_far	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
2	5	186	5	P90	53	0.002648	0.002648	0.001562	0.001562
2	5	186	5	P95	62	0.004691	0.004691	0.003320	0.003320
2	5	186	5	P99	211	0.002384	0.002384	0.000905	0.000905
2	5	186	5	P999	214	-0.000522	-0.000522	0.001740	0.001740
2	6	217	6	P1	41	0.002047	0.002047	0.000717	0.000717
2	6	217	6	P50	47	-0.001375	-0.001375	0.000421	0.000421
2	6	217	6	P75	50	-0.000021	-0.000021	-0.001365	-0.001365
2	6	217	6	P90	53	0.003273	0.003273	0.002335	0.002335
2	6	217	6	P95	63	0.003639	0.003639	0.002269	0.002269
2	6	217	6	P99	120	0.002266	0.002266	0.000839	0.000839
2	6	217	6	P999	214	-0.000522	-0.000522	0.001740	0.001740
2	7	248	7	P1	41	0.002047	0.002047	0.000717	0.000717
2	7	248	7	P50	46	0.003667	0.003517	0.002423	0.002306
2	7	248	7	P75	49	0.004491	0.003955	0.003142	0.002921
2	7	248	7	P90	53	0.003273	0.003273	0.002335	0.002335
2	7	248	7	P95	62	0.004691	0.004691	0.003320	0.003320
2	7	248	7	P99	120	0.002266	0.002266	0.000839	0.000839
2	7	248	7	P999	214	-0.000522	-0.000522	0.001740	0.001740
3	1	62	1	P1	40	0.001599	0.001599	0.000490	0.000490
3	1	62	1	P50	46	-0.001720	-0.002342	0.000052	-0.000288
3	1	62	1	P75	48	0.001700	0.001700	0.000581	0.000581
3	1	62	1	P90	51	0.001633	0.001633	0.000511	0.000511
3	1	62	1	P95	54	0.000546	0.000546	0.003165	0.003165
3	1	62	1	P99	112	0.003717	0.003717	0.002551	0.002551
3	1	62	1	P999	112	0.003717	0.003717	0.002551	0.002551
3	2	93	2	P1	40	0.001040	0.001040	0.000490	0.000490
3	2	93	2	P50	46	0.000849	0.000849	0.001276	0.001276
3	2	93	2	P75	48	0.001907	0.001907	0.001329	0.001329
3	2	93	2	P90	52	0.000371	0.000371	0.003527	0.003527
3	2	93	2	P95	61	0.001498	0.001498	0.000886	0.000886
3	2	93	2	P99	118	0.003409	0.003409	0.002698	0.002698
3	2	93	2	P999	118	0.003409	0.003409	0.002698	0.002698
3	3	124	3	P1	41	-0.000968	-0.000968	-0.000840	-0.000840
3	3	124	3	P50	46	-0.000752	-0.001091	0.000572	0.000352
3	3	124	3	P75	48	0.001206	0.000790	0.001329	0.000914
3	3	124	3	P90	52	-0.000338	-0.000338	0.001653	0.001653
3	3	124	3	P95	61	0.000769	0.000769	0.000886	0.000886
3	3	124	3	P99	118	0.002600	0.002600	0.002698	0.002698
3	3	124	3	P999	212	-0.000166	-0.000166	0.003659	0.003659
3	4	155	4	P1	40	0.001118	0.001118	0.000490	0.000490
3	4	155	4	P50	46	-0.001978	-0.001978	-0.000033	-0.000033
3	4	155	4	P75	48	0.001987	0.001987	0.001329	0.001329
3	4	155	4	P90	54	-0.001770	-0.001770	0.000668	0.000668
3	4	155	4	P95	106	0.002326	0.002326	0.001540	0.001540
3	4	155	4	P99	212	0.000811	0.000811	0.003659	0.003659
3	4	155	4	P999	218	-0.000928	-0.000928	0.001911	0.001911
3	5	186	5	P1	40	0.001118	0.001118	0.000490	0.000490
3	5	186	5	P50	46	0.001382	0.001042	0.001838	0.001682
3	5	186	5	P75	49	-0.001542	-0.001542	0.001061	0.001061
3	5	186	5	P90	54	-0.001770	-0.001770	0.000668	0.000668
