key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
1	623	P1	2	1.995254	-0.002373	1.995254	-0.002373	1.998497	-0.000752	1.998497	-0.000752
1	623	P50	4	4.001326	0.000331	4.001326	0.000331	3.992876	-0.001781	3.992876	-0.001781
1	623	P75	5	4.983453	-0.003309	4.983453	-0.003309	4.991553	-0.001689	4.991553	-0.001689
1	623	P90	5	4.994361	-0.001128	4.994361	-0.001128	5.002479	0.000496	5.002479	0.000496
1	623	P95	5	4.998002	-0.000400	4.998002	-0.000400	5.006126	0.001225	5.006126	0.001225
1	623	P99	66	66.179465	0.002719	66.179465	0.002719	66.039716	0.000602	66.039716	0.000602
1	623	P999	166	166.608547	0.003666	166.608547	0.003666	166.256725	0.001547	166.256725	0.001547
2	623	P1	1	1.001625	0.001625	1.001625	0.001625	1.003745	0.003745	1.003745	0.003745
2	623	P50	3	3.000095	0.000032	3.000095	0.000032	2.995227	-0.001591	2.995227	-0.001591
2	623	P75	4	3.994270	-0.001433	3.994270	-0.001433	3.987788	-0.003053	3.987788	-0.003053
2	623	P90	4	4.003124	0.000781	4.003124	0.000781	3.996628	-0.000843	3.996628	-0.000843
2	623	P95	4	4.006079	0.001520	4.006079	0.001520	3.999579	-0.000105	3.999579	-0.000105
2	623	P99	4	4.008465	0.002116	4.008465	0.002116	4.001960	0.000490	4.001960	0.000490
2	623	P999	122	122.108046	0.000886	122.108046	0.000886	122.366443	0.003004	122.366443	0.003004
3	623	P1	1	1.000265	0.000265	1.000265	0.000265	1.002382	0.002382	1.002382	0.002382
3	623	P50	3	2.999639	-0.000120	2.999639	-0.000120	2.994771	-0.001743	2.994771	-0.001743
3	623	P75	4	3.993712	-0.001572	3.993712	-0.001572	3.987231	-0.003192	3.987231	-0.003192
3	623	P90	4	4.003168	0.000792	4.003168	0.000792	3.996672	-0.000832	3.996672	-0.000832
3	623	P95	4	4.006325	0.001581	4.006325	0.001581	3.999823	-0.000044	3.999823	-0.000044
3	623	P99	5	5.010021	0.002004	5.010021	0.002004	5.001891	0.000378	5.001891	0.000378
3	623	P999	75	75.111307	0.001484	75.111307	0.001484	75.270253	0.003603	75.270253	0.003603
4	623	P1	1	1.001692	0.001692	1.001692	0.001692	1.002183	0.002183	1.002183	0.002183
4	623	P50	3	3.006164	0.002055	3.006164	0.002055	2.996416	-0.001195	2.996416	-0.001195
4	623	P75	4	3.988764	-0.002809	3.988764	-0.002809	3.990719	-0.002320	3.990719	-0.002320
4	623	P90	4	3.995773	-0.001057	3.995773	-0.001057	3.997731	-0.000567	3.997731	-0.000567
4	623	P95	4	3.998113	-0.000472	3.998113	-0.000472	4.000072	0.000018	4.000072	0.000018
4	623	P99	4	4.000000	-0.000000	4.000000	-0.000000	4.001960	0.000490	4.001960	0.000490
4	623	P999	79	79.275304	0.003485	79.275304	0.003485	79.018226	0.000231	79.018226	0.000231
5	623	P1	1	1.003395	0.003395	1.003395	0.003395	1.003745	0.003745	1.003745	0.003745
5	623	P50	3	2.994146	-0.001951	2.994146	-0.001951	2.995190	-0.001603	2.995190	-0.001603
5	623	P75	4	3.987212	-0.003197	3.987212	-0.003197	3.988603	-0.002849	3.988603	-0.002849
5	623	P90	4	3.995830	-0.001042	3.995830	-0.001042	3.997224	-0.000694	3.997224	-0.000694
5	623	P95	4	3.998707	-0.000323	3.998707	-0.000323	4.000102	0.000025	4.000102	0.000025
5	623	P99	67	67.011174	0.000167	67.011174	0.000167	67.034550	0.000516	67.034550	0.000516
5	623	P999	162	162.512768	0.003165	162.512768	0.003165	162.569459	0.003515	162.569459	0.003515
6	623	P1	1	1.000794	0.000794	1.000794	0.000794	1.002912	0.002912	1.002912	0.002912
6	623	P50	2	1.999581	-0.000210	1.999581	-0.000210	2.003812	0.001906	2.003812	0.001906
6	623	P75	3	3.000312	0.000104	3.000312	0.000104	2.995443	-0.001519	2.995443	-0.001519
