file	bpd	bound	scope	arm	conv	quantile	n	p50	p95	p99	max	within_bound	mean_signed
ScriptLog-DPMExtended-clean.log	53	0.044403	small	T	binning	P999	3310	0.021960	0.040829	0.043572	0.044380	1.000000	0.021633
ScriptLog-DPMExtended-clean.log	53	0.044403	small	T	raw	P999	3310	0.021960	0.040829	0.043572	0.044380	1.000000	0.021633
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	binning	P1	3310	0.006151	0.034368	0.042654	0.044403	1.000000	0.003203
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	raw	P1	3310	0.006151	0.034368	0.042654	0.044403	1.000000	0.003203
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	binning	P50	3310	0.011595	0.029387	0.041173	0.044403	1.000000	0.001676
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	raw	P50	3310	0.011506	0.032177	0.255261	0.856265	0.984894	-0.007700
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	binning	P75	3310	0.009157	0.036114	0.043233	0.044403	1.000000	0.009735
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	raw	P75	3310	0.009157	0.038983	0.314967	0.727188	0.975831	0.000253
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	binning	P90	3310	0.015680	0.041176	0.044222	0.044403	1.000000	0.012828
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	raw	P90	3310	0.015680	0.041231	0.044222	0.324092	0.999094	0.012603
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	binning	P95	3310	0.016918	0.042635	0.044403	0.044403	1.000000	0.017319
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	raw	P95	3310	0.016918	0.042635	0.044403	0.044403	1.000000	0.017319
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	binning	P99	3310	0.018926	0.042876	0.044403	0.044403	1.000000	0.021188
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	raw	P99	3310	0.018926	0.042876	0.044403	0.044403	1.000000	0.021188
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	binning	P999	3310	0.019116	0.043247	0.044403	0.044403	1.000000	0.021439
ScriptLog-DPMExtended-clean.log	53	0.044403	small	G	raw	P999	3310	0.019116	0.043247	0.044403	0.044403	1.000000	0.021439
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	binning	P1	1655	0.018968	0.046206	0.048360	0.054536	0.932931	-0.012367
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	raw	P1	1655	0.018968	0.046206	0.048360	0.054536	0.932931	-0.012367
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	binning	P50	1655	0.007951	0.032184	0.043857	0.057873	0.990332	0.007059
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	raw	P50	1655	0.007846	0.978211	0.995788	0.998331	0.865861	-0.090946
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	binning	P75	1655	0.013363	0.042967	0.052559	0.066178	0.958912	0.013315
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	raw	P75	1655	0.013363	0.045425	0.107371	0.684781	0.949245	0.007947
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	binning	P90	1655	0.013374	0.042732	0.054985	0.063401	0.955287	0.012601
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	raw	P90	1655	0.013370	0.042816	0.054985	0.063401	0.954683	0.012536
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	binning	P95	1655	0.016850	0.047090	0.054985	0.061485	0.937764	0.017334
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	raw	P95	1655	0.016853	0.047190	0.055028	0.123064	0.937160	0.017260
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	binning	P99	1655	0.017896	0.046025	0.054009	0.065275	0.945015	0.018055
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	raw	P99	1655	0.017896	0.046025	0.054009	0.065275	0.945015	0.018055
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	binning	P999	1655	0.018278	0.046025	0.054009	0.065275	0.945015	0.019123
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	T	raw	P999	1655	0.018278	0.046025	0.054009	0.065275	0.945015	0.019123
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	binning	P1	1655	0.007589	0.035520	0.043679	0.044403	1.000000	-0.001096
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	raw	P1	1655	0.007589	0.035520	0.043679	0.044403	1.000000	-0.001096
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	binning	P50	1655	0.010881	0.027666	0.040726	0.044403	1.000000	0.001698
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	raw	P50	1655	0.011604	0.977780	0.995875	0.998283	0.871903	-0.096608
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	binning	P75	1655	0.006857	0.032932	0.042635	0.044403	1.000000	0.006372
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	raw	P75	1655	0.006724	0.033607	0.128283	0.675900	0.989728	0.001013
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	binning	P90	1655	0.012371	0.035645	0.042827	0.044403	1.000000	0.007968
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	raw	P90	1655	0.012471	0.035645	0.042876	0.082121	0.999396	0.007904
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	binning	P95	1655	0.015328	0.041279	0.044222	0.044403	1.000000	0.014817
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	raw	P95	1655	0.015328	0.041279	0.044222	0.141363	0.999396	0.014719
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	binning	P99	1655	0.019924	0.043007	0.044403	0.044403	1.000000	0.021645
