key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
1	334	P1	1	0.996314	-0.003686	0.996314	-0.003686	1.000045	0.000045	1.000045	0.000045
1	334	P50	1	0.998155	-0.001845	0.998144	-0.001856	1.001893	0.001893	1.001882	0.001882
1	334	P75	1	0.999088	-0.000912	0.999088	-0.000912	1.002830	0.002830	1.002830	0.002830
1	334	P90	1	0.999651	-0.000349	0.999651	-0.000349	1.003395	0.003395	1.003395	0.003395
1	334	P95	1	0.999842	-0.000158	0.999842	-0.000158	1.003587	0.003587	1.003587	0.003587
1	334	P99	1	0.999989	-0.000011	0.999989	-0.000011	1.003734	0.003734	1.003734	0.003734
1	334	P999	46	46.127619	0.002774	46.127619	0.002774	46.127619	0.002774	46.127619	0.002774
2	516	P1	3	3.000111	0.000037	3.000111	0.000037	2.990382	-0.003206	2.990382	-0.003206
2	516	P50	4	3.990420	-0.002395	3.990380	-0.002405	3.992375	-0.001906	3.992335	-0.001916
2	516	P75	4	3.995610	-0.001098	3.995569	-0.001108	3.997567	-0.000608	3.997527	-0.000618
2	516	P90	4	3.998711	-0.000322	3.998711	-0.000322	4.000670	0.000167	4.000670	0.000167
2	516	P95	4	3.999758	-0.000060	3.999758	-0.000060	4.001718	0.000429	4.001718	0.000429
2	516	P99	5	5.002373	0.000475	5.002373	0.000475	5.004824	0.000965	5.004824	0.000965
2	516	P999	45	45.082505	0.001833	45.082505	0.001833	45.104594	0.002324	45.104594	0.002324
3	516	P1	3	2.989240	-0.003587	2.989240	-0.003587	2.990282	-0.003239	2.990282	-0.003239
3	516	P50	4	3.989981	-0.002505	3.989939	-0.002515	3.991373	-0.002157	3.991331	-0.002167
3	516	P75	4	3.995374	-0.001157	3.995332	-0.001167	3.996767	-0.000808	3.996725	-0.000819
3	516	P90	4	3.998596	-0.000351	3.998596	-0.000351	3.999991	-0.000002	3.999991	-0.000002
3	516	P95	4	3.999685	-0.000079	3.999685	-0.000079	4.001080	0.000270	4.001080	0.000270
3	516	P99	4	4.000522	0.000131	4.000522	0.000131	4.001918	0.000479	4.001918	0.000479
3	516	P999	43	43.111069	0.002583	43.111069	0.002583	43.126107	0.002933	43.126107	0.002933
4	303	P1	3	3.002216	0.000739	3.002216	0.000739	2.992480	-0.002507	2.992480	-0.002507
