key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
9	623	P999	74	75.100858	0.014876	75.100858	0.014876	77.053515	0.041264	77.053515	0.041264
10	623	P1	2	1.986158	-0.006921	1.986158	-0.006921	1.919361	-0.040320	1.919361	-0.040320
10	623	P50	3	3.007059	0.002353	3.007059	0.002353	3.034959	0.011653	3.034959	0.011653
10	623	P75	4	3.999906	-0.000023	3.999906	-0.000023	3.865384	-0.033654	3.865384	-0.033654
10	623	P90	4	4.099061	0.024765	4.099061	0.024765	3.961205	-0.009699	3.961205	-0.009699
10	623	P95	4	4.132657	0.033164	4.132657	0.033164	3.993670	-0.001582	3.993670	-0.001582
10	623	P99	66	67.015901	0.015392	67.015901	0.015392	67.637676	0.024813	67.637676	0.024813
10	623	P999	165	166.879993	0.011394	166.879993	0.011394	168.428311	0.020778	168.428311	0.020778
11	623	P1	3	2.912187	-0.029271	2.912187	-0.029271	2.987906	-0.004031	2.987906	-0.004031
11	623	P50	5	4.935587	-0.012883	4.935587	-0.012883	5.063915	0.012783	5.063915	0.012783
11	623	P75	6	5.798688	-0.033552	5.798688	-0.033552	5.949457	-0.008424	5.949457	-0.008424
11	623	P90	6	5.959172	-0.006805	5.959172	-0.006805	6.114114	0.019019	6.114114	0.019019
11	623	P95	6	6.013648	0.002275	6.013648	0.002275	6.170006	0.028334	6.170006	0.028334
11	623	P99	7	7.190796	0.027257	7.190796	0.027257	7.064096	0.009157	7.064096	0.009157
11	623	P999	76	78.435527	0.032046	78.435527	0.032046	77.053515	0.013862	77.053515	0.013862
12	623	P1	3	2.947623	-0.017459	2.947623	-0.017459	2.980847	-0.006384	2.980847	-0.006384
12	623	P50	5	5.092074	0.018415	5.092074	0.018415	5.149468	0.029894	5.149468	0.029894
12	623	P75	7	7.024887	0.003555	7.024887	0.003555	6.802038	-0.028280	6.802038	-0.028280
12	623	P90	7	7.211633	0.030233	7.211633	0.030233	6.982860	-0.002449	6.982860	-0.002449
12	623	P95	7	7.274979	0.039283	7.274979	0.039283	7.044196	0.006314	7.044196	0.006314
12	623	P99	79	79.577952	0.007316	79.577952	0.007316	78.745622	-0.003220	78.745622	-0.003220
12	623	P999	174	181.670046	0.044081	181.670046	0.044081	175.906958	0.010960	175.906958	0.010960
13	623	P1	3	2.908675	-0.030442	2.908675	-0.030442	2.984302	-0.005233	2.984302	-0.005233
13	623	P50	5	4.950059	-0.009988	4.950059	-0.009988	5.078763	0.015753	5.078763	0.015753
13	623	P75	6	5.817442	-0.030426	5.817442	-0.030426	5.968699	-0.005217	5.968699	-0.005217
13	623	P90	6	5.978446	-0.003592	5.978446	-0.003592	6.133888	0.022315	6.133888	0.022315
13	623	P95	6	6.033098	0.005516	6.033098	0.005516	6.189961	0.031660	6.189961	0.031660
13	623	P99	8	8.191827	0.023978	8.191827	0.023978	8.047489	0.005936	8.047489	0.005936
13	623	P999	78	78.435527	0.005584	78.435527	0.005584	80.474887	0.031729	80.474887	0.031729
14	623	P1	1	1.029197	0.029197	1.029197	0.029197	1.038746	0.038746	1.038746	0.038746
14	623	P50	3	2.945458	-0.018181	2.945458	-0.018181	2.972786	-0.009071	2.972786	-0.009071
14	623	P75	3	3.010775	0.003592	3.010775	0.003592	3.038709	0.012903	3.038709	0.012903
14	623	P90	3	3.050402	0.016801	3.050402	0.016801	3.078703	0.026234	3.078703	0.026234
14	623	P95	3	3.063726	0.021242	3.063726	0.021242	3.092151	0.030717	3.092151	0.030717
14	623	P99	5	5.163811	0.032762	5.163811	0.032762	5.211721	0.042344	5.211721	0.042344
14	623	P999	176	182.028807	0.034255	182.028807	0.034255	183.717676	0.043850	183.717676	0.043850
15	623	P1	2	1.954171	-0.022915	1.954171	-0.022915	1.919739	-0.040131	1.919739	-0.040131
15	623	P50	3	2.948434	-0.017189	2.948434	-0.017189	3.025095	0.008365	3.025095	0.008365
15	623	P75	4	3.920721	-0.019820	3.920721	-0.019820	3.851639	-0.037090	3.851639	-0.037090
15	623	P90	4	4.025638	0.006409	4.025638	0.006409	3.954707	-0.011323	3.954707	-0.011323
15	623	P95	4	4.061230	0.015308	4.061230	0.015308	3.989672	-0.002582	3.989672	-0.002582
15	623	P99	5	5.079648	0.015930	5.079648	0.015930	5.211721	0.042344	5.211721	0.042344
15	623	P999	121	121.113364	0.000937	121.113364	0.000937	124.262367	0.026962	124.262367	0.026962
16	623	P1	1	1.034802	0.034802	1.034802	0.034802	1.044403	0.044403	1.044403	0.044403
16	623	P50	3	2.942011	-0.019330	2.942011	-0.019330	2.969308	-0.010231	2.969308	-0.010231
16	623	P75	3	3.015149	0.005050	3.015149	0.005050	3.043124	0.014375	3.043124	0.014375
16	623	P90	3	3.059613	0.019871	3.059613	0.019871	3.088000	0.029333	3.088000	0.029333
16	623	P95	4	4.050247	0.012562	4.050247	0.012562	3.914032	-0.021492	3.914032	-0.021492
16	623	P99	4	4.151470	0.037867	4.151470	0.037867	4.011851	0.002963	4.011851	0.002963
16	623	P999	146	146.487477	0.003339	146.487477	0.003339	147.846593	0.012648	147.846593	0.012648
17	623	P1	1	1.024859	0.024859	1.024859	0.024859	1.034368	0.034368	1.034368	0.034368
17	623	P50	3	2.985602	-0.004799	2.985602	-0.004799	3.013302	0.004434	3.013302	0.004434
